"X(um)","Z(um)"
"0.000 ",""
"23.468 ",""
"46.936 ",""
"70.404 ",""
"93.873 ",""
"117.341 ",""
"140.809 ",""
"164.277 ",""
"187.745 ",""
"211.213 ",""
"234.682 ",""
"258.150 ",""
"281.618 ",""
"305.086 ",""
"328.554 ",""
"352.022 ",""
"375.490 ",""
"398.959 ",""
"422.427 ",""
"445.895 ",""
"469.363 ",""
"492.831 ",""
"516.299 ",""
"539.767 ",""
"563.236 ",""
"586.704 ",""
"610.172 ",""
"633.640 ",""
"657.108 ",""
"680.576 ",""
"704.045 ",""
"727.513 ",""
"750.981 ",""
"774.449 ",""
"797.917 ",""
"821.385 ",""
"844.853 ",""
"868.322 ",""
"891.790 ",""
"915.258 ",""
"938.726 ",""
"962.194 ",""
"985.662 ",""
"1009.130 ",""
"1032.599 ",""
"1056.067 ",""
"1079.535 ",""
"1103.003 ",""
"1126.471 ",""
"1149.939 ",""
"1173.408 ",""
"1196.876 ",""
"1220.344 ",""
"1243.812 ",""
"1267.280 ",""
"1290.748 ",""
"1314.216 ",""
"1337.685 ",""
"1361.153 ",""
"1384.621 ",""
"1408.089 ",""
"1431.557 ",""
"1455.025 ",""
"1478.494 ",""
"1501.962 ",""
"1525.430 ",""
"1548.898 ",""
"1572.366 ",""
"1595.834 ",""
"1619.302 ",""
"1642.771 ",""
"1666.239 ",""
"1689.707 ",""
"1713.175 ",""
"1736.643 ",""
"1760.111 ",""
"1783.579 ",""
"1807.048 ",""
"1830.516 ",""
"1853.984 ",""
"1877.452 ",""
"1900.920 ",""
"1924.388 ",""
"1947.857 ",""
"1971.325 ",""
"1994.793 ",""
"2018.261 ",""
"2041.729 ",""
"2065.197 ",""
"2088.665 ",""
"2112.134 ",""
"2135.602 ",""
"2159.070 ",""
"2182.538 ",""
"2206.006 ",""
"2229.474 ",""
"2252.942 ",""
"2276.411 ",""
"2299.879 ",""
"2323.347 ",""
"2346.815 ",""
"2370.283 ",""
"2393.751 ",""
"2417.220 ",""
"2440.688 ",""
"2464.156 ",""
"2487.624 ",""
"2511.092 ",""
"2534.560 ",""
"2558.028 ",""
"2581.497 ",""
"2604.965 ",""
"2628.433 ",""
"2651.901 ",""
"2675.369 ",""
"2698.837 ",""
"2722.306 ",""
"2745.774 ",""
"2769.242 ",""
"2792.710 ",""
"2816.178 ",""
"2839.646 ",""
"2863.114 ",""
"2886.583 ",""
"2910.051 ",""
"2933.519 ",""
"2956.987 ",""
"2980.455 ",""
"3003.923 ",""
"3027.391 ",""
"3050.860 ",""
"3074.328 ",""
"3097.796 ",""
"3121.264 ",""
"3144.732 ",""
"3168.200 ",""
"3191.669 ",""
"3215.137 ",""
"3238.605 ",""
"3262.073 ",""
"3285.541 ",""
"3309.009 ",""
"3332.477 ",""
"3355.946 ",""
"3379.414 ",""
"3402.882 ",""
"3426.350 ",""
"3449.818 ",""
"3473.286 ",""
"3496.754 ",""
"3520.223 ",""
"3543.691 ",""
"3567.159 ",""
"3590.627 ",""
"3614.095 ",""
"3637.563 ",""
"3661.032 ",""
"3684.500 ",""
"3707.968 ",""
"3731.436 ",""
"3754.904 ",""
"3778.372 ",""
"3801.840 ",""
"3825.309 ",""
"3848.777 ",""
"3872.245 ",""
"3895.713 ",""
"3919.181 ",""
"3942.649 ",""
"3966.118 ",""
"3989.586 ",""
"4013.054 ",""
"4036.522 ",""
"4059.990 ",""
"4083.458 ",""
"4106.926 ",""
"4130.395 ",""
"4153.863 ",""
"4177.331 ",""
"4200.799 ",""
"4224.267 ",""
"4247.735 ",""
"4271.203 ",""
"4294.672 ",""
"4318.140 ",""
"4341.608 ",""
"4365.076 ",""
"4388.544 ",""
"4412.012 ",""
"4435.481 ",""
"4458.949 ",""
"4482.417 ",""
"4505.885 ",""
"4529.353 ",""
"4552.821 ",""
"4576.289 ",""
"4599.758 ",""
"4623.226 ",""
"4646.694 ",""
"4670.162 ",""
"4693.630 ",""
"4717.098 ",""
"4740.566 ",""
