"X(um)","Z(um)"
"0.000 ",""
"23.469 ",""
"46.938 ",""
"70.407 ",""
"93.876 ",""
"117.345 ",""
"140.813 ",""
"164.282 ",""
"187.751 ",""
"211.220 ",""
"234.689 ",""
"258.158 ",""
"281.627 ",""
"305.096 ",""
"328.565 ",""
"352.034 ",""
"375.503 ",""
"398.972 ",""
"422.440 ",""
"445.909 ",""
"469.378 ",""
"492.847 ",""
"516.316 ",""
"539.785 ",""
"563.254 ",""
"586.723 ",""
"610.192 ",""
"633.661 ",""
"657.130 ",""
"680.599 ",""
"704.067 ",""
"727.536 ",""
"751.005 ",""
"774.474 ",""
"797.943 ",""
"821.412 ",""
"844.881 ",""
"868.350 ",""
"891.819 ",""
"915.288 ",""
"938.757 ",""
"962.225 ",""
"985.694 ",""
"1009.163 ",""
"1032.632 ",""
"1056.101 ",""
"1079.570 ",""
"1103.039 ",""
"1126.508 ",""
"1149.977 ",""
"1173.446 ",""
"1196.915 ",""
"1220.384 ",""
"1243.852 ",""
"1267.321 ",""
"1290.790 ",""
"1314.259 ",""
"1337.728 ",""
"1361.197 ",""
"1384.666 ",""
"1408.135 ",""
"1431.604 ",""
"1455.073 ",""
"1478.542 ",""
"1502.010 ",""
"1525.479 ",""
"1548.948 ",""
"1572.417 ",""
"1595.886 ",""
"1619.355 ",""
"1642.824 ",""
"1666.293 ",""
"1689.762 ",""
"1713.231 ",""
"1736.700 ",""
"1760.169 ",""
"1783.637 ",""
"1807.106 ",""
"1830.575 ",""
"1854.044 ",""
"1877.513 ",""
"1900.982 ",""
"1924.451 ",""
"1947.920 ",""
"1971.389 ",""
"1994.858 ",""
"2018.327 ",""
"2041.796 ",""
"2065.264 ",""
"2088.733 ",""
"2112.202 ",""
"2135.671 ",""
"2159.140 ",""
"2182.609 ",""
"2206.078 ",""
"2229.547 ",""
"2253.016 ",""
"2276.485 ",""
"2299.954 ",""
"2323.422 ",""
"2346.891 ",""
"2370.360 ",""
"2393.829 ",""
"2417.298 ",""
"2440.767 ",""
"2464.236 ",""
"2487.705 ",""
"2511.174 ",""
"2534.643 ",""
"2558.112 ",""
"2581.581 ",""
"2605.049 ",""
"2628.518 ",""
"2651.987 ",""
"2675.456 ",""
"2698.925 ",""
"2722.394 ",""
"2745.863 ",""
"2769.332 ",""
"2792.801 ",""
"2816.270 ",""
"2839.739 ",""
"2863.207 ",""
"2886.676 ",""
"2910.145 ",""
"2933.614 ",""
"2957.083 ",""
"2980.552 ",""
"3004.021 ",""
"3027.490 ",""
"3050.959 ",""
"3074.428 ",""
"3097.897 ",""
"3121.366 ",""
"3144.834 ",""
"3168.303 ",""
"3191.772 ",""
"3215.241 ",""
"3238.710 ",""
"3262.179 ",""
"3285.648 ",""
"3309.117 ",""
"3332.586 ",""
"3356.055 ",""
"3379.524 ",""
"3402.993 ",""
"3426.461 ",""
"3449.930 ",""
"3473.399 ",""
"3496.868 ",""
"3520.337 ",""
"3543.806 ",""
"3567.275 ",""
"3590.744 ",""
"3614.213 ",""
"3637.682 ",""
"3661.151 ",""
"3684.619 ",""
"3708.088 ",""
"3731.557 ",""
"3755.026 ",""
"3778.495 ",""
"3801.964 ",""
"3825.433 ",""
"3848.902 ",""
"3872.371 ",""
"3895.840 ",""
"3919.309 ",""
"3942.778 ",""
"3966.246 ",""
"3989.715 ",""
"4013.184 ",""
"4036.653 ",""
"4060.122 ",""
"4083.591 ",""
"4107.060 ",""
"4130.529 ",""
"4153.998 ",""
"4177.467 ",""
"4200.936 ",""
"4224.404 ",""
"4247.873 ",""
"4271.342 ",""
"4294.811 ",""
"4318.280 ",""
"4341.749 ",""
"4365.218 ",""
"4388.687 ",""
"4412.156 ",""
"4435.625 ",""
"4459.094 ",""
"4482.563 ",""
"4506.031 ",""
"4529.500 ",""
"4552.969 ",""
"4576.438 ",""
"4599.907 ",""
"4623.376 ",""
"4646.845 ",""
"4670.314 ",""
"4693.783 ",""
"4717.252 ",""
"4740.721 ",""
"4764.190 ",""
"4787.658 ",""
"4811.127 ",""
"4834.596 ",""
"4858.065 ",""
"4881.534 ",""
"4905.003 ",""
"4928.472 ",""
"4951.941 ",""
"4975.410 ",""
"4998.879 ",""
"5022.348 ",""
"5045.816 ",""
"5069.285 ",""
"5092.754 ",""
"5116.223 ",""
"5139.692 ",""
"5163.161 ",""
"5186.630 ",""
"5210.099 ",""
"5233.568 ",""
"5257.037 ",""
"5280.506 ",""
"5303.975 ",""
"5327.443 ",""
"5350.912 ",""
"5374.381 ",""
"5397.850 ",""
"5421.319 ",""
"5444.788 ",""
"5468.257 ",""
"5491.726 ",""
"5515.195 ",""
"5538.664 ",""
"5562.133 ",""
"5585.601 ",""
"5609.070 ",""
"5632.539 ",""
"5656.008 ",""
"5679.477 ",""
"5702.946 ",""
"5726.415 ",""
"5749.884 ",""
"5773.353 ",""
"5796.822 ",""
"5820.291 ",""
"5843.760 ",""
"5867.228 ",""
"5890.697 ",""
"5914.166 ",""
"5937.635 ",""
"5961.104 ",""
"5984.573 ",""
"6008.042 ",""
"6031.511 ",""
"6054.980 ",""
"6078.449 ",""
"6101.918 ",""
"6125.387 ",""
"6148.855 ",""
"6172.324 ",""
"6195.793 ","4344.824 "
"6219.262 ","4355.439 "
"6242.731 ","4371.475 "
"6266.200 ",""
"6289.669 ",""
"6313.138 ",""
"6336.607 ",""
"6360.076 ",""
"6383.545 ",""
"6407.013 ",""
"6430.482 ",""
"6453.951 ",""
"6477.420 ",""
"6500.889 ",""
"6524.358 ",""
"6547.827 ","4835.401 "
"6571.296 ","4850.451 "
"6594.765 ","4860.435 "
"6618.234 ","4863.298 "
"6641.703 ","4866.469 "
"6665.172 ","4877.259 "
"6688.640 ","4895.717 "
"6712.109 ","4913.036 "
"6735.578 ","4924.203 "
"6759.047 ","4930.626 "
"6782.516 ","4935.584 "
"6805.985 ","4945.530 "
"6829.454 ","4965.324 "
"6852.923 ","4991.421 "
"6876.392 ","5013.636 "
"6899.861 ","5028.353 "
"6923.330 ","5044.182 "
"6946.798 ","5071.177 "
"6970.267 ","5107.409 "
"6993.736 ","5142.779 "
"7017.205 ","5168.106 "
"7040.674 ","5183.372 "
"7064.143 ","5198.181 "
"7087.612 ","5218.812 "
